conteo_reviews,ambiente,recomendable,ambiente_norm,recomendable_norm
60,11.0,32.0,0.18333333333333332,0.5333333333333333
78,18.0,37.0,0.23076923076923078,0.47435897435897434
82,22.0,58.0,0.2682926829268293,0.7073170731707317
78,22.0,52.0,0.28205128205128205,0.6666666666666666
90,17.0,54.0,0.18888888888888888,0.6
55,11.0,32.0,0.2,0.5818181818181818
68,11.0,54.0,0.16176470588235295,0.7941176470588235
76,14.0,58.0,0.18421052631578946,0.7631578947368421
69,8.0,45.0,0.11594202898550725,0.6521739130434783
82,21.0,48.0,0.25609756097560976,0.5853658536585366
67,13.0,49.0,0.19402985074626866,0.7313432835820896
72,20.0,52.0,0.2777777777777778,0.7222222222222222
89,29.0,52.0,0.3258426966292135,0.5842696629213483
51,11.0,27.0,0.21568627450980393,0.5294117647058824
75,15.0,19.0,0.2,0.25333333333333335
79,17.0,44.0,0.21518987341772153,0.5569620253164557
88,16.0,50.0,0.18181818181818182,0.5681818181818182
70,17.0,24.0,0.24285714285714285,0.34285714285714286
